movie_name,area_code,region_name,mapping_type,evidence,confidence,trending_score
기생충,1,서울,SHOT,"성북구 자하문로·마포구 아현동 골목 실촬영 + 반지하/부촌 대비 배경",5,95.0
기생충,31,경기,BACKGROUND,"수도권 주거 격차의 상징적 배경",3,70.0
올드보이,1,서울,SHOT,"한강·이수교·건대 일대 실촬영",4,70.0
범죄도시,1,서울,SHOT,"구로·가리봉동 조선족 상권 실촬영",4,82.0
범죄도시,2,인천,BACKGROUND,"차이나타운·월미 조선족 권역 연계",3,68.0
범죄도시2,1,서울,BACKGROUND,"구로 마석가구단지 연계 배경",3,76.0
범죄도시3,1,서울,SHOT,"금천·구로 일대 실촬영",3,72.0
범죄도시4,1,서울,SHOT,"가산·구로·금천 주요 배경",3,70.0
서울의 봄,1,서울,SHOT,"중구·종로·용산 정치·군사 동선 실촬영",5,93.0
1987,1,서울,BACKGROUND,"남영동 대공분실·연세대 앞 시위 배경",5,80.0
1987,39,제주,BACKGROUND,"박종철 고향 제주 + 사건 취재 동선",2,45.0
남산의 부장들,1,서울,BACKGROUND,"궁정동·남산 중심 정치 드라마",4,70.0
벌새,1,서울,SHOT,"대치동 아파트 단지·한강시민공원 실촬영",5,72.0
헌트,1,서울,SHOT,"안기부·명동·광화문 일대 실촬영",4,74.0
말모이,1,서울,SHOT,"종로·북촌 조선어학회 장면",4,62.0
추격자,1,서울,SHOT,"망원·마포 골목 실촬영",4,80.0
엑시트,1,서울,SHOT,"강남·남산 고층 빌딩 탈출",4,76.0
콘크리트 유토피아,1,서울,BACKGROUND,"강남 재난 이후 아파트 디스토피아",4,78.0
암살,1,서울,BACKGROUND,"경성(1930 서울) + 상하이 가상 공간",3,72.0
신과함께-죄와 벌,1,서울,BACKGROUND,"서울 출신 가족의 이승/저승 서사",3,70.0
내부자들,1,서울,BACKGROUND,"정치·재벌 서울 본사",3,66.0
타짜,1,서울,BACKGROUND,"청계천·종로 도박판 배경",3,68.0
박하사탕,1,서울,SHOT,"광화문·종로 일대 실촬영",4,58.0
잠,1,서울,BACKGROUND,"서울 아파트 심리 스릴러",3,64.0
길복순,1,서울,SHOT,"강남·종로 서울 전역 실촬영",3,60.0
30일,1,서울,BACKGROUND,"서울 도시 커플 코미디 배경",3,55.0
쉬리,1,서울,SHOT,"63빌딩·잠수교 액션",4,65.0
괴물,1,서울,SHOT,"한강 원효대교 일대 실촬영",5,85.0
건축학개론,1,서울,SHOT,"정릉·제기동 90년대 서울 풍경",4,74.0
건축학개론,39,제주,SHOT,"서귀포·성산일출봉 후반부 실촬영",5,85.0
써니,1,서울,SHOT,"노원·방배 80년대 학교 실촬영",4,72.0
댓글부대,1,서울,BACKGROUND,"서울 언론사·인터넷 여론조작 배경",3,58.0
모범택시-극장판,1,서울,BACKGROUND,"서울 택시 액션 배경",2,48.0
유체이탈자,1,서울,SHOT,"서울·경기 일대 액션 로드무비",3,54.0
전우치,1,서울,BACKGROUND,"가상 조선 + 현대 서울 공간",3,60.0
도둑들,1,서울,BACKGROUND,"서울 도심 한탕 케이퍼",3,68.0
달콤한 인생,1,서울,SHOT,"강남 W호텔·청담동 실촬영",4,62.0
타워,1,서울,BACKGROUND,"여의도 초고층 빌딩 재난 설정",3,58.0
부당거래,1,서울,BACKGROUND,"서울 강남경찰서·검찰청 배경",3,60.0
사바하,31,경기,SHOT,"파주 DMZ 인접 산지·양평 실촬영",4,70.0
공조,31,경기,SHOT,"파주·김포 접경 일대 실촬영",4,74.0
